['Bgsng7106', 'Bgsng7204', 'Bgsng7128', 'Bgsng8064', 'Bgsng7178', 'Bgsng7114', 'Bgsng7142', 'Bgsng7096', 'Bgsng7090', 'Bgsng7149', 'Bgsng7177', 'Bgsng7150']
['Bgsng7150', 'Bgsng7018', 'Bgsng7149', 'Bgsng7202', 'Bgsng8169', 'Bgsng7142', 'Bgsng7204', 'Bgsng7192', 'Bgsng7035', 'Bgsng7071', 'Bgsng7052', 'Bgsng7178']
['Bgsng7150', 'Bgsng7071', 'Bgsng7142', 'Bgsng8169', 'Bgsng7178', 'Bgsng7131', 'Bgsng7204', 'Bgsng7035', 'Bgsng7173', 'Bgsng8064', 'Bgsng7149', 'Bgsng7177']
['Bgsng7173', 'Bgsng7114', 'Bgsng7052', 'Bgsng7178', 'Bgsng7063', 'Bgsng7096', 'Bgsng7090', 'Bgsng7192', 'Bgsng7204', 'Bgsng7142', 'Bgsng7018', 'Bgsng7071']
['Bgsng7115', 'Bgsng7192', 'Bgsng7114', 'Bgsng7178', 'Bgsng7150', 'Bgsng7082', 'Bgsng8064', 'Bgsng7052', 'Bgsng8169', 'Bgsng7035', 'Bgsng7071', 'Bgsng7204']
['Bgsng7150', 'Bgsng7114', 'Bgsng7071', 'Bgsng7035', 'Bgsng7178', 'Bgsng7149', 'Bgsng7202', 'Bgsng7128', 'Bgsng7063', 'Bgsng8169', 'Bgsng7106', 'Bgsng8064']
['Bgsng7082', 'Bgsng7204', 'Bgsng7128', 'Bgsng7106', 'Bgsng7115', 'Bgsng7114', 'Bgsng7071', 'Bgsng7173', 'Bgsng7155', 'Bgsng8169', 'Bgsng7035', 'Bgsng7149']
['Bgsng7192', 'Bgsng7106', 'Bgsng8169', 'Bgsng7082', 'Bgsng7204', 'Bgsng7114', 'Bgsng7052', 'Bgsng7063', 'Bgsng7150', 'Bgsng7142', 'Bgsng7128', 'Bgsng7018']
['Bgsng7115', 'Bgsng7202', 'Bgsng7106', 'Bgsng7173', 'Bgsng7052', 'Bgsng7192', 'Bgsng7128', 'Bgsng7150', 'Bgsng7149', 'Bgsng7082', 'Bgsng7035', 'Bgsng7177']
['Bgsng7063', 'Bgsng7128', 'Bgsng8169', 'Bgsng7150', 'Bgsng7052', 'Bgsng7204', 'Bgsng7155', 'Bgsng7114', 'Bgsng7106', 'Bgsng7071', 'Bgsng7173', 'Bgsng7202']
['Bgsng7106', 'Bgsng7071', 'Bgsng7155', 'Bgsng7035', 'Bgsng7178', 'Bgsng7090', 'Bgsng8169', 'Bgsng7173', 'Bgsng7131', 'Bgsng8064', 'Bgsng7114', 'Bgsng7018']
